ID,Category,Pet Type,Difficulty,Question,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation,Is Active
16,Nutrition & Diet,Cat,Easy,Cats are obligate carnivores. What does this mean?,They prefer meat but can survive on plant-based diets,They must eat animal protein to survive — they cannot synthesise key nutrients from plants,They only eat raw meat,They eat both plants and meat equally,B,"Unlike dogs, cats cannot produce taurine, arachidonic acid, and vitamin A from plant sources. A diet without animal protein leads to serious health problems.",Yes
17,Nutrition & Diet,Cat,Easy,Is it safe to give a cat cow's milk regularly?,"Yes, cats love milk and it is healthy","No, most adult cats are lactose intolerant",Only skimmed milk is fine,"Yes, in small quantities it is always fine",B,Most adult cats lose the ability to digest lactose after weaning. Regular milk can cause diarrhoea and stomach upset. Specially formulated cat milk is a safer treat.,Yes
18,Nutrition & Diet,Cat,Easy,Which of these human foods is dangerous for cats?,Plain cooked chicken,Onions and garlic,Plain cooked white fish,Plain cooked turkey,B,"Onions and garlic contain thiosulphate, which destroys red blood cells in cats and can cause haemolytic anaemia. Even powdered forms (in stocks or sauces) are dangerous.",Yes
19,Nutrition & Diet,Other,Easy,Rabbits need an unlimited supply of which food to maintain healthy gut function?,Pellets,Fresh vegetables,Timothy hay,Fresh fruit,C,Hay (ideally Timothy hay for adult rabbits) should make up 80–90% of a rabbit's diet. It keeps the gut moving and prevents dangerous conditions like GI stasis.,Yes
20,Health & Wellness,Dog,Easy,How often should a healthy adult dog (1–7 years) visit the vet for a routine check-up?,Every month,Once a year,Every 3 years,Only when visibly sick,B,"Annual vet check-ups are the standard recommendation. They catch problems early, keep vaccinations current, and include parasite prevention checks.",Yes
21,Health & Wellness,Dog,Easy,At what age should puppies receive their first vaccination?,At birth,6–8 weeks,3 months,6 months,B,The primary vaccination course starts at 6–8 weeks and continues with boosters. Puppies are vulnerable to diseases like parvovirus until fully vaccinated.,Yes
22,Health & Wellness,Dog,Medium,What disease is transmitted to dogs through mosquito bites and can damage the heart?,Lyme disease,Parvovirus,Heartworm disease,Distemper,C,Heartworm (Dirofilaria immitis) is spread by mosquitoes. Larvae migrate to the heart and pulmonary arteries. Monthly preventative treatment is highly effective.,Yes
23,Health & Wellness,Dog,Easy,Which of these is a warning sign that a dog may be experiencing heatstroke?,"Excessive panting, drooling, and glazed eyes",Mild shivering,Refusing to run,Yawning frequently,A,"Heatstroke signs include heavy panting, excessive drooling, a bright red tongue, vomiting, and in severe cases collapse. Move the dog to shade, apply cool (not cold) water, and call a vet.",Yes
24,Health & Wellness,Dog,Medium,What is parvovirus and who is most at risk?,A fungal infection mostly affecting cats,A highly contagious viral disease most dangerous to unvaccinated puppies,A bacterial infection common in adult dogs,A parasite affecting all pets equally,B,Canine parvovirus attacks the digestive tract and immune system. It can be fatal. Vaccination is the most effective protection.,Yes
25,Health & Wellness,Cat,Easy,Should indoor-only cats still receive vaccinations?,No — they have no exposure to other animals or disease,Yes — some diseases (like calicivirus) are airborne or can be carried in on clothing,Only female cats need vaccinations,Only if they occasionally go outside,B,"Indoor cats can still be exposed to airborne viruses and pathogens brought in on shoes or clothing. Core vaccines (herpesvirus, calicivirus, panleukopenia) are recommended for all cats.",Yes
26,Health & Wellness,Cat,Easy,How often should a healthy adult cat (1–10 years) visit the vet?,Monthly,Every 6 months,Once a year,Only when sick,C,"Annual vet visits for adult cats are recommended. Senior cats (10+) benefit from every 6 months, as health changes more rapidly with age.",Yes
27,Health & Wellness,All Pets,Easy,What is the primary purpose of microchipping a pet?,To track their real-time location via GPS,To provide permanent identification if they are lost,To monitor their health and activity,It is required for pet insurance,B,A microchip (about the size of a grain of rice) stores a unique ID number linked to the owner's contact details in a registry. It is not a GPS tracker but is permanent and cannot be lost like a collar.,Yes
28,Health & Wellness,Dog,Medium,What is the benefit of neutering a male dog?,It makes the dog faster,"It can reduce roaming, aggression, and certain health risks such as testicular cancer",It increases muscle mass,It extends the dog's coat quality,B,Neutering removes the testes and eliminates testosterone-driven behaviours like roaming. It also prevents testicular cancer and reduces prostate disease risk.,Yes
29,First Aid & Emergencies,Dog,Easy,Your dog has eaten a large amount of chocolate. What should you do?,Give them water and wait to see what happens,Give them milk to neutralise it,Contact your vet or a pet poison hotline immediately,Induce vomiting yourself using salt,C,"Chocolate contains theobromine and caffeine, which are toxic to dogs. Dark chocolate and baking chocolate are most dangerous. Never try to induce vomiting without vet guidance.",Yes
30,First Aid & Emergencies,Dog,Medium,A dog is having a seizure. What is the correct response?,Hold them firmly still to stop the convulsions,Put something in their mouth so they don't bite their tongue,"Stay calm, move hazards away, time the seizure, and call the vet",Give them water immediately afterwards,C,"Do not restrain a seizing dog — you could get bitten and cause injury. Remove hazards, time the episode (over 5 minutes = emergency), and call your vet. Dogs cannot choke on their tongue.",Yes
31,First Aid & Emergencies,Dog,Easy,Your dog has a wound that is bleeding. What is your first step?,Apply hydrogen peroxide to disinfect it,"Apply gentle, firm pressure with a clean cloth",Wrap it tightly with a tourniquet,Leave it open to air and monitor,B,Direct pressure with a clean cloth is the first step to control bleeding. Hydrogen peroxide can damage tissue and slow healing. Seek vet care for deep or large wounds.,Yes
32,First Aid & Emergencies,Dog,Hard,Which combination of signs suggests a dog may have gastric dilatation-volvulus (GDV/bloat) — a life-threatening emergency?,Mild diarrhoea and sleeping more,"A visibly distended, hard abdomen combined with unproductive retching",Loss of appetite for one meal,Limping and excessive licking,B,"GDV is a true emergency where the stomach twists and fills with gas. It can kill within hours. Large, deep-chested breeds (Great Danes, German Shepherds) are most at risk. Rush to the vet immediately.",Yes
33,First Aid & Emergencies,Cat,Medium,A cat has been bitten by another cat. Why does this always warrant a vet visit?,Cats are overly dramatic about pain,Cat bites easily become infected and can cause painful abscesses,Cat saliva transfers feline viruses like FIV,Both B and C,D,"Cat bites are notorious for introducing bacteria deep into tissue. The small puncture wound closes quickly, trapping bacteria. Abscesses form rapidly, and FIV can be transmitted through bites.",Yes
34,First Aid & Emergencies,Cat,Easy,Your cat has eaten part of a lily plant. What should you do?,Give them water and observe for 24 hours,Contact a vet immediately — all parts of lilies are highly toxic to cats,Induce vomiting at home,Give them milk to soothe their stomach,B,Lilies (particularly Lilium and Hemerocallis species) are extremely toxic to cats and can cause acute kidney failure within 24–72 hours. Even small amounts of pollen can be deadly.,Yes
35,First Aid & Emergencies,All Pets,Easy,"If a pet loses consciousness, what is the very first thing you should do?",Give them food or water,Check if they are breathing and call a vet immediately,Pour cold water on them,Wait 10 minutes to see if they recover on their own,B,"Assess airway, breathing, and circulation first. If the animal is not breathing, begin pet CPR if you are trained and call a vet immediately. Time is critical.",Yes
36,First Aid & Emergencies,Other,Easy,A small pet (hamster or guinea pig) suddenly stops eating and becomes lethargic. What should you do?,Wait a few days — it is probably just tired,Seek veterinary advice promptly — these are serious warning signs,Change their bedding and cage location,Increase the temperature of the room,B,"Small mammals hide illness as a survival instinct. By the time symptoms are visible, the animal may already be quite unwell. Early vet intervention is critical for small pets.",Yes
37,Grooming & Daily Care,Dog,Easy,How often should you brush a short-haired dog such as a Beagle or Labrador?,Daily,Once a week,Once a month,Never — short hair does not need brushing,B,"Even short-haired dogs benefit from weekly brushing to remove loose hair, distribute natural oils, and check for skin issues or parasites.",Yes
38,Grooming & Daily Care,Dog,Easy,How often should most dogs be bathed?,Every day,"Every 1–3 months, or when they are visibly dirty or smelly",Once a year,Only when they go swimming,B,"Over-bathing strips natural oils from the coat, leading to dry, irritated skin. Dogs with skin conditions or who spend time outdoors may need more frequent baths — ask your vet.",Yes
39,Grooming & Daily Care,Dog,Easy,When should you start introducing tooth brushing to a puppy?,At 6 months when adult teeth come in,As early as possible — puppies should get used to it from a young age,Only once they are 1 year old,Dogs do not need their teeth brushed,B,"Dental disease is the most common health problem in dogs. Starting early makes it routine. Use dog-specific toothpaste — human toothpaste contains xylitol, which is toxic to dogs.",Yes
40,Grooming & Daily Care,Dog,Easy,What is a clear sign that a dog's nails are too long and need trimming?,They lick their paws more frequently,You can hear them clicking on hard floors,Their coat becomes dull,They begin limping on soft ground only,B,When nails click on hard floors they are long enough to alter the dog's posture and put pressure on joints. Overgrown nails can curl into the paw pad if left unchecked.,Yes
41,Grooming & Daily Care,Cat,Easy,How often should a long-haired cat (such as a Maine Coon or Persian) be brushed?,Once a month,Daily or every other day,Once a week,Only when mats appear,B,"Long-haired cats mat quickly without regular brushing. Daily brushing prevents painful tangles, reduces hairballs, and is a great bonding activity.",Yes
42,Grooming & Daily Care,Cat,Easy,Do cats generally need regular baths?,"Yes, weekly baths are essential",No — cats are self-groomers and rarely need baths unless they get into something sticky or toxic,"Yes, monthly baths are recommended",Only outdoor cats need bathing,B,Cats spend up to 50% of their waking hours grooming. Baths are usually only necessary if a cat gets into something harmful or cannot groom due to obesity or illness.,Yes
43,Grooming & Daily Care,Dog,Medium,What is the correct way to clean a dog's ears at home?,Use a cotton bud to clean deep inside the ear canal,Apply vet-approved ear cleaner and gently wipe the outer ear with a cotton ball,Use warm water and a stiff brush,Ears are self-cleaning and should never be touched,B,"Never insert anything into the ear canal — this can damage the eardrum. Clean only what is visible. If you see redness, smell an odour, or notice excessive scratching, see a vet.",Yes
44,Breed & Species Trivia,Dog,Easy,Which dog breed is generally considered the fastest in the world?,German Shepherd,Siberian Husky,Greyhound,Border Collie,C,"Greyhounds can reach speeds of up to 72 km/h (45 mph), making them the fastest dog breed. They are sprinters by nature and are surprisingly calm and gentle at home.",Yes
45,Breed & Species Trivia,Dog,Medium,Which dog breed is famous for making a yodel-like sound instead of barking?,Shiba Inu,Basenji,Chow Chow,Akita,B,"The Basenji, originally from Central Africa, has an unusual larynx shape that produces a sound called a 'baroo' instead of a traditional bark. They are one of the oldest known dog breeds.",Yes
46,Breed & Species Trivia,Dog,Easy,What were Border Collies originally bred to do?,Hunting game birds,Guard properties and livestock,Herd sheep and livestock,Racing,C,Border Collies were developed on the border of Scotland and England for sheep herding. Their intense focus and intelligence make them exceptionally trainable — and one of the most energetic breeds.,Yes
47,Breed & Species Trivia,Dog,Medium,Which dog breed is known for having a distinctive blue-black tongue?,Dalmatian,Shar-Pei,Chow Chow,Both Shar-Pei and Chow Chow,D,"Both Chow Chows and Shar-Peis are known for their blue-black tongues. The reason for this pigmentation is not fully understood, but it is a breed-defining trait for both.",Yes
48,Breed & Species Trivia,Dog,Easy,What is the world's smallest recognised dog breed?,Dachshund,Toy Poodle,Chihuahua,Pomeranian,C,"The Chihuahua is officially the world's smallest dog breed. They typically weigh between 1.5–3 kg and originated in Mexico. Despite their size, they have very bold personalities.",Yes
49,Breed & Species Trivia,Cat,Easy,Approximately how many hours per day do cats typically sleep?,5–8 hours,12–16 hours,20 or more hours,8–10 hours,B,Cats are crepuscular predators (most active at dawn and dusk) and conserve energy by sleeping up to 16 hours a day. Kittens and elderly cats may sleep even more.,Yes
50,Breed & Species Trivia,Cat,Easy,Which cat breed is known for having little to no fur?,Scottish Fold,Siamese,Sphynx,Russian Blue,C,The Sphynx cat has a genetic mutation that causes it to have no fur (or very fine peach-fuzz). They require regular skin cleaning since they have no coat to absorb body oils.,Yes
51,Breed & Species Trivia,Cat,Medium,"Which cat breed is famous for its naturally short, bobbed tail?",Maine Coon,Japanese Bobtail,Abyssinian,Ragdoll,B,The Japanese Bobtail's short tail is caused by a recessive gene. It has been a symbol of good luck in Japan for centuries — the famous 'Maneki-neko' (beckoning cat) is based on this breed.,Yes
52,Breed & Species Trivia,Other,Easy,"Among these common pets, which typically has the longest lifespan?",Hamster (2–3 years),Dog (10–15 years),Parrot (20–80+ years depending on species),Rabbit (8–12 years),C,Many parrot species are extraordinarily long-lived. African Grey parrots and macaws can live 50–80+ years in captivity. This is an important consideration for anyone thinking of getting a parrot.,Yes
53,Behavior & Training,Dog,Easy,Why do dogs sometimes eat grass?,They are bored and playing,They may be seeking fibre or soothing an upset stomach,It is always a sign of serious illness,They mistake it for food,B,"Grass-eating is common and usually harmless. Some dogs eat it regularly without issue. If a dog suddenly eats grass frantically and vomits frequently, a vet visit is worthwhile.",Yes
54,Behavior & Training,Dog,Medium,What is separation anxiety in dogs?,When a dog refuses to be near its owner,"Distress and destructive behaviour (barking, chewing, toileting) that occurs when left alone",Aggression toward strangers,Fear of other dogs,B,"Separation anxiety is one of the most common behavioural issues in dogs. Gradual desensitisation, enrichment, and in some cases veterinary support can help manage it effectively.",Yes
55,Behavior & Training,Dog,Medium,A dog growls when you approach its food bowl. What is the right response?,Punish them immediately to establish dominance,Take the bowl away as punishment,Consult a professional trainer — food guarding is a serious behaviour issue that needs careful management,Ignore it completely — growling over food is natural,C,Food guarding is a normal dog behaviour but needs professional guidance to address safely. Punishing a growling dog removes the warning signal and can escalate to biting without warning.,Yes
56,Behavior & Training,Dog,Easy,What is 'lure training' in dog training?,Training using electronic stimulus devices,Using a treat to guide the dog into the desired position before rewarding,Training dogs in water,"Using a clicker only, with no food rewards",B,"Lure training is a beginner-friendly positive reinforcement technique. A treat guides the dog's body into position (e.g., moving a treat upward lures a dog into a sit). The lure is faded once the dog understands the behaviour.",Yes
57,Behavior & Training,Dog,Easy,Why is it important to socialise puppies with other dogs early in life?,So they can learn to establish dominance in the pack,To develop appropriate play and communication skills with other dogs,It is not important — dogs naturally know how to interact,Only to reduce barking,B,"Puppies that miss the socialisation window (3–14 weeks) often struggle with fear or aggression toward other dogs as adults. Positive, supervised interactions during this period are invaluable.",Yes
58,Behavior & Training,Cat,Easy,What does it usually mean when a cat puffs up its tail and fur?,It is cold and trying to warm up,It is frightened or feeling threatened and trying to appear larger,It wants to play,It is hungry,B,Piloerection (puffing up) is an involuntary fear response. Combined with an arched back it is a classic defensive posture. Give the cat space and remove any perceived threat.,Yes
59,Behavior & Training,Cat,Easy,Why do cats knead (the 'making biscuits' motion) on soft surfaces or their owners?,They are sharpening their claws,It is a sign of deep contentment — a comforting behaviour carried over from kittenhood,They are marking territory with their paws,They want to be fed,B,Kittens knead their mother's belly to stimulate milk flow. Adult cats retain this behaviour as a self-soothing sign of happiness and relaxation. It means your cat feels very safe.,Yes
60,Nutrition & Diet,Dog,Medium,What is the maximum recommended percentage of a dog's daily calorie intake that treats should represent?,50%,30%,10%,25%,C,"The 10% rule prevents treat overconsumption, which is a leading cause of canine obesity. Count treat calories into the dog's daily total and reduce meal size accordingly on heavy treat days.",Yes
61,Nutrition & Diet,Dog,Easy,Can dogs safely eat eggs?,No — raw or cooked eggs are toxic to dogs,"Yes — plain cooked eggs are a safe, protein-rich snack","Only egg whites, never the yolk","Only raw eggs, never cooked",B,"Cooked eggs are an excellent protein source for dogs. Raw eggs carry a risk of salmonella and contain avidin, which can block biotin absorption. Always serve them plain and fully cooked.",Yes
62,Nutrition & Diet,Dog,Easy,Is peanut butter safe to give to dogs?,Yes — as long as it does not contain xylitol (an artificial sweetener toxic to dogs),No — all peanut butter is toxic to dogs,Only in large amounts,Only organic peanut butter is safe,A,"Plain peanut butter (no xylitol, no added salt or sugar) is a popular dog treat. Always check the label — some 'natural' or 'sugar-free' brands use xylitol, which is life-threatening to dogs.",Yes
63,Nutrition & Diet,Cat,Medium,Why do cats require significantly more protein in their diet compared to dogs?,They are larger animals that need more fuel,They use protein as a primary energy source and cannot down-regulate protein metabolism as efficiently as dogs,They are more physically active throughout the day,They have shorter digestive tracts,B,"Unlike dogs and humans, cats cannot conserve protein when dietary intake is low — they continue breaking it down for energy. This makes high-protein diets essential, not optional.",Yes
64,Nutrition & Diet,Cat,Medium,Is it safe to feed a cat a dog food diet long-term?,Yes — both species have the same basic nutritional needs,"No — cat food is formulated with taurine, arachidonic acid, and vitamin A that cats cannot synthesise, which dog food does not provide in sufficient quantities",Only as an occasional treat,"Yes, if it is a high-protein dog food",B,Cats fed dog food long-term will develop serious deficiencies. Taurine deficiency alone can cause blindness and fatal heart disease in cats. Always use species-appropriate food.,Yes
65,Nutrition & Diet,All Pets,Medium,Approximately how much water does a healthy medium-sized dog (around 10 kg) need to drink per day?,100 ml (a small cup),250 ml (about a glass),500–1000 ml (roughly half to one litre),2 litres or more,C,"A general rule is 50–100 ml of water per kg of body weight per day. A 10 kg dog needs around 500–1000 ml. Needs vary with activity, heat, and diet (wet food provides more moisture than dry kibble).",Yes
66,Health & Wellness,Dog,Easy,What is kennel cough and how is it primarily spread?,A digestive infection spread through contaminated water bowls,A highly contagious respiratory infection spread through the air or direct contact between dogs,A skin condition contracted from kennels,A tick-borne illness,B,"Kennel cough (infectious tracheobronchitis) is the 'common cold' of the dog world. It spreads rapidly in areas with many dogs (kennels, dog parks). Vaccination is available and often required by boarding facilities.",Yes
67,Health & Wellness,Dog,Easy,A dog keeps dragging its bottom along the floor (scooting). What is the most likely cause?,It is playing a game,"The anal glands may be full, impacted, or irritated",It is cold,It is a sign of happiness,B,"Dogs have two anal glands that should express naturally. When they become overfull or blocked, scooting is the dog's attempt to relieve discomfort. A vet or groomer can manually express them.",Yes
68,Health & Wellness,Dog,Medium,At approximately what age is a dog generally considered a 'senior'?,3 years,5 years,Around 7 years — though this varies significantly by breed size,12 years,C,Large and giant breeds age faster and are considered senior from around 6 years. Small breeds may not reach senior status until 10–12 years. Senior dogs benefit from twice-yearly vet visits.,Yes
69,Health & Wellness,Cat,Hard,What is feline hyperthyroidism and which cats are most commonly affected?,An underactive thyroid most common in kittens,An overactive thyroid gland most commonly diagnosed in cats over 10 years old,A rare genetic condition seen in young cats,A dietary deficiency that affects adult cats,B,"Feline hyperthyroidism is one of the most common hormonal diseases in older cats. Signs include weight loss despite increased appetite, increased thirst, and hyperactivity. It is very manageable with treatment.",Yes
70,Health & Wellness,Cat,Hard,What is Feline Lower Urinary Tract Disease (FLUTD) and which cats face the highest risk?,A lung disease more common in outdoor cats,"A group of urinary conditions (crystals, blockages, inflammation) more common in male cats and those fed exclusively dry food",A skin condition common in long-haired breeds,A dental disease predominantly in senior cats,B,"Male cats are at higher risk of urethral blockage, which is a life-threatening emergency. Signs include straining to urinate, crying in the litter box, or blood in urine. Wet food and hydration help prevention.",Yes
71,Health & Wellness,All Pets,Medium,What is the purpose of a booster vaccination?,It completely replaces the original vaccine,It reinforces immunity that may have diminished since the initial vaccination course,It is optional and makes no measurable difference,It only covers newly emerged diseases,B,Immunity from vaccines wanes over time. Boosters 'remind' the immune system how to fight the disease. Frequency depends on the vaccine and individual animal — your vet will advise a schedule.,Yes
72,First Aid & Emergencies,Dog,Medium,Your dog has been stung by a bee or wasp. What symptoms require urgent veterinary attention?,Licking the sting site,"Swelling of the face or throat, difficulty breathing, or collapse — signs of a severe allergic reaction",Increased energy for an hour,A small red bump at the sting site,B,"Most stings cause local irritation only. However, anaphylaxis (severe allergic reaction) can be fatal. Stings inside the mouth or throat are especially dangerous even without allergy. If in doubt, call your vet.",Yes
73,First Aid & Emergencies,Dog,Easy,A dog has a suspected broken leg. What should you do while transporting them to the vet?,Gently massage the leg to assess the injury,Keep the dog as calm and still as possible — do not attempt to splint or straighten it yourself,Give them a human painkiller to ease the pain,Encourage them to walk slowly to see if it is really broken,B,"Moving a fractured limb incorrectly can cause further damage or turn a closed fracture into an open one. Keep the dog still, support the body, and get to the vet as quickly and calmly as possible.",Yes
74,First Aid & Emergencies,Dog,Medium,Your dog has come into contact with a toad and is now drooling heavily and seeming distressed. What should you do?,Give them a large amount of water to drink,Rinse the mouth out thoroughly with water (not letting them swallow it) and contact a vet immediately,Ignore it — toad contact is always harmless,Give them milk to neutralise the toxin,B,"Some toads (especially the Common Toad in Europe) secrete bufotoxins from their skin. Symptoms include profuse drooling, pawing at the mouth, and vomiting. Rinsing the mouth first is the correct first-aid step while calling the vet.",Yes
75,First Aid & Emergencies,Cat,Easy,A male cat is straining repeatedly in the litter box and producing little or no urine. Why is this a veterinary emergency?,It is just constipation — normal and not urgent,Male cats can develop a urethral blockage which can become life-threatening within hours,It means they need more water in their diet,It is a sign of stress and will resolve on its own,B,"A blocked bladder prevents the cat from urinating at all. Toxins build up in the blood rapidly. Without treatment, a fully blocked cat can die within 24–48 hours. This is always an emergency.",Yes
76,First Aid & Emergencies,All Pets,Medium,Which common household medicine is one of the most dangerous substances for both cats and dogs?,Table salt,Paracetamol (acetaminophen) — extremely toxic to cats and highly dangerous to dogs,Baking soda,White vinegar,B,Paracetamol causes liver failure in dogs and destroys red blood cells in cats (even one tablet can be fatal to a cat). Never give human pain medication to pets without explicit veterinary guidance.,Yes
77,First Aid & Emergencies,All Pets,Easy,What is the correct technique for removing a tick from a pet?,Burn it off with a lit match,Smother it in petroleum jelly to suffocate it,"Use fine-tipped tweezers or a tick removal tool, grasp as close to the skin as possible and pull steadily upward without twisting",Squeeze the tick's body firmly and pull hard,C,"Twisting or squeezing the tick's body can cause it to regurgitate infectious material into the wound, increasing disease transmission risk. Pull steadily and straight. After removal, disinfect the bite site and monitor for signs of illness.",Yes
78,Grooming & Daily Care,Dog,Medium,What is a 'double coat' in dogs and is it safe to shave?,Two separate coats that can freely be trimmed or shaved in summer to keep the dog cool,An inner undercoat and an outer guard coat — shaving it can permanently damage regrowth and actually reduce the dog's natural insulation,A feature exclusive to Siberian Huskies,A sign of a skin condition requiring treatment,B,"Double-coated breeds (Huskies, Golden Retrievers, German Shepherds) use their coat for both cooling and warmth. Shaving disrupts this system and can lead to patchy, altered regrowth. Regular brushing to remove the undercoat is the correct approach.",Yes
79,Grooming & Daily Care,Dog,Medium,How often should the ears of a floppy-eared dog (like a Cocker Spaniel or Basset Hound) be checked?,Never — dogs clean their own ears,Only when you notice a bad smell,"About once a week — floppy ears trap moisture and warmth, making them infection-prone",Once a year during the vet check,C,"Floppy-eared breeds have reduced airflow to the ear canal, creating ideal conditions for yeast and bacterial infections. Weekly gentle checks and cleaning with a vet-approved solution can prevent chronic ear problems.",Yes
80,Grooming & Daily Care,Dog,Medium,Why should you never use regular human shampoo on a dog?,It is too expensive to use on dogs,Human skin has a different pH (4.5–5.5) to dog skin (6.5–7.5) — human shampoo strips the dog's natural skin barrier,Dogs are allergic to all human shampoo ingredients,It makes the coat unmanageably shiny,B,"Using the wrong pH shampoo leaves a dog's skin vulnerable to bacteria, yeast, and irritation. Always use a shampoo specifically formulated for dogs. Medicated shampoos exist for specific skin conditions.",Yes
81,Grooming & Daily Care,Cat,Medium,"A cat is over-grooming, licking certain areas until the fur is thinned or bald. What might this indicate?",Their coat is exceptionally healthy and self-managing,"It can be a sign of stress, allergies, parasites, or a skin condition — a vet check is warranted",It is completely normal in all cats over 5 years,They are preparing for seasonal shedding,B,Psychogenic alopecia (stress-related over-grooming) and allergies are the most common causes. The areas affected and pattern of hair loss help the vet determine the cause. Do not assume it will resolve on its own.,Yes
82,Grooming & Daily Care,Cat,Easy,How often should a cat's litter box ideally be maintained?,Once a week,Once a month,"Scooped at least once daily; fully emptied, cleaned, and refilled weekly",Only when it starts to smell,C,Cats are fastidiously clean and will avoid a dirty litter box — potentially toileting elsewhere. One box per cat plus one extra is the standard recommendation. Avoiding scented litters is also advised as cats dislike strong fragrances.,Yes
83,Breed & Species Trivia,Dog,Medium,Both Labrador Retrievers and Poodles are known for which ability?,Exceptional speed over long distances,Herding livestock,Being strong swimmers — both breeds were developed for water retrieval,Guarding property at night,C,Labradors were bred to retrieve fish and nets from icy Canadian waters. Standard Poodles were bred as water retrievers in Germany — their distinctive clip was originally designed to protect joints while swimming.,Yes
